POSTCODE,Type,Value
RH,2020Mean,4132.411509
RH,2020Medium,3696.554886
RM,2018Meter,173036
RM,2018Total,615876363.1
RM,2018Mean,3559.238327
RM,2018Medium,3178.898439
RM,2019Meter,175659
RM,2019Total,619325084.6
RM,2019Mean,3525.723616
RM,2019Medium,3156.020362
RM,2020Meter,177849
RM,2020Total,660613205.4
RM,2020Mean,3714.461174
RM,2020Medium,3273.587254
S,2018Meter,559289
S,2018Total,1760250512
S,2018Mean,3147.300434
S,2018Medium,2786.760306
S,2019Meter,565806
S,2019Total,1773504982
S,2019Mean,3134.475389
S,2019Medium,2773.374641
S,2020Meter,569123
S,2020Total,1884153768
S,2020Mean,3310.626645
S,2020Medium,2881.155435
SA,2018Meter,313943
SA,2018Total,1043117528
SA,2018Mean,3322.633498
SA,2018Medium,2963.349079
SA,2019Meter,316438
SA,2019Total,1046635671
SA,2019Mean,3307.553678
SA,2019Medium,2944.628442
SA,2020Meter,318577
SA,2020Total,1108776764
SA,2020Mean,3480.404311
SA,2020Medium,3057.82954
SE,2018Meter,412226
SE,2018Total,1264886673
SE,2018Mean,3068.430117
SE,2018Medium,2661.391664
SE,2019Meter,416378
SE,2019Total,1258995683
SE,2019Mean,3023.684448
SE,2019Medium,2638.230037
SE,2020Meter,418356
SE,2020Total,1333361903
SE,2020Mean,3187.146601
SE,2020Medium,2763.661139
SG,2018Meter,136577
SG,2018Total,501825620.3
SG,2018Mean,3674.305486
SG,2018Medium,3311.031925
SG,2019Meter,139780
SG,2019Total,510466304.8
SG,2019Mean,3651.926633
SG,2019Medium,3299.153529
SG,2020Meter,142565
SG,2020Total,555562547
SG,2020Mean,3896.907004
SG,2020Medium,3509.873532
SK,2018Meter,252455
SK,2018Total,890373766.8
SK,2018Mean,3526.861289
SK,2018Medium,3179.692047
SK,2019Meter,254939
SK,2019Total,894716358.1
SK,2019Mean,3509.531135
SK,2019Medium,3158.626355
SK,2020Meter,256672
SK,2020Total,953582150.7
SK,2020Mean,3715.177934
SK,2020Medium,3312.678908
SL,2018Meter,140670
SL,2018Total,578832182.4
SL,2018Mean,4114.823221
SL,2018Medium,3725.368859
SL,2019Meter,141878
SL,2019Total,581890655.2
SL,2019Mean,4101.345207
SL,2019Medium,3704.232543
SL,2020Meter,142943
SL,2020Total,617848163.7
SL,2020Mean,4322.33942
SL,2020Medium,3887.286537
SM,2018Meter,76807
SM,2018Total,272483184.8
SM,2018Mean,3547.634783
SM,2018Medium,3129.337203
SM,2019Meter,77789
SM,2019Total,276456199.3
SM,2019Mean,3553.924068
SM,2019Medium,3148.609779
SM,2020Meter,78272
SM,2020Total,293593692.9
SM,2020Mean,3750.941498
SM,2020Medium,3299.272206
SN,2018Meter,189084
SN,2018Total,703577419.3
SN,2018Mean,3720.97808
SN,2018Medium,3330.61395
SN,2019Meter,191611
SN,2019Total,710431775.2
SN,2019Mean,3707.677405
SN,2019Medium,3318.080059
SN,2020Meter,193905
SN,2020Total,756119284
SN,2020Mean,3899.431598
SN,2020Medium,3474.772421
SO,2018Meter,267369
SO,2018Total,970657410.7
SO,2018Mean,3630.403714
SO,2018Medium,3214.433264
SO,2019Meter,270254
SO,2019Total,976509842.1
SO,2019Mean,3613.303937
SO,2019Medium,3208.226964
SO,2020Meter,273099
SO,2020Total,1044443498
SO,2020Mean,3824.413483
SO,2020Medium,3353.177004
SP,2018Meter,93819
SP,2018Total,364465216.9
SP,2018Mean,3884.76979
SP,2018Medium,3460.570265
SP,2019Meter,95977
SP,2019Total,369574731.7
SP,2019Mean,3850.659342
SP,2019Medium,3436.281974
SP,2020Meter,97387
SP,2020Total,394867637.3
SP,2020Mean,4054.62369
SP,2020Medium,3614.952259
SR,2018Meter,109899
SR,2018Total,322771117.5
SR,2018Mean,2936.979567
SR,2018Medium,2629.758561
SR,2019Meter,110381
SR,2019Total,321492459.7
SR,2019Mean,2912.570639
SR,2019Medium,2601.877245
SR,2020Meter,110930
SR,2020Total,337127683
SR,2020Mean,3039.102885
SR,2020Medium,2652.947341
SS,2018Meter,176210
SS,2018Total,647873022.6
SS,2018Mean,3676.709736
SS,2018Medium,3275.910593
SS,2019Meter,179326
SS,2019Total,654698404.9
SS,2019Mean,3650.883893
SS,2019Medium,3253.91719
SS,2020Meter,181680
SS,2020Total,704215095.6
SS,2020Mean,3876.128884
SS,2020Medium,3409.16081
ST,2018Meter,259625
ST,2018Total,862657977.7
ST,2018Mean,3322.707666
ST,2018Medium,2965.146178
ST,2019Meter,262408
ST,2019Total,867587601.6
ST,2019Mean,3306.254389
ST,2019Medium,2939.256573
ST,2020Meter,264852
ST,2020Total,917363815.6
ST,2020Mean,3463.684683
ST,2020Medium,3033.187162
SW,2018Meter,386036
SW,2018Total,1351344303
SW,2018Mean,3500.565498
SW,2018Medium,3056.142819
SW,2019Meter,389452
SW,2019Total,1339313788
SW,2019Mean,3438.970111
SW,2019Medium,3025.644171
SW,2020Meter,389770
SW,2020Total,1396353605
SW,2020Mean,3582.50662
SW,2020Medium,3138.547044
SY,2018Meter,129503
SY,2018Total,488129486.2
SY,2018Mean,3769.252343
SY,2018Medium,3318.705855
SY,2019Meter,131594
SY,2019Total,494620831.7
SY,2019Mean,3758.688327
SY,2019Medium,3313.525421
SY,2020Meter,133180
SY,2020Total,528824198
SY,2020Mean,3970.747845
SY,2020Medium,3459.56748
TA,2018Meter,130304
TA,2018Total,470952279.8
TA,2018Mean,3614.258041
TA,2018Medium,3203.971576
TA,2019Meter,132149
TA,2019Total,474784175.2
TA,2019Mean,3592.794309
TA,2019Medium,3191.079055
TA,2020Meter,134070
TA,2020Total,509089056.1
TA,2020Mean,3797.188454
TA,2020Medium,3333.310709
TD,2018Meter,48835
TD,2018Total,174824575.1
TD,2018Mean,3579.903247
TD,2018Medium,3123.699241
TD,2019Meter,49391
TD,2019Total,175486028.7
TD,2019Mean,3552.996066
TD,2019Medium,3116.989646
TD,2020Meter,49779
TD,2020Total,185690963.2
TD,2020Mean,3730.307222
TD,2020Medium,3234.397789
TF,2018Meter,87477
TF,2018Total,300346749.2
TF,2018Mean,3433.436779
TF,2018Medium,3093.953564
TF,2019Meter,89132
TF,2019Total,303550331.6
TF,2019Mean,3405.626841
TF,2019Medium,3061.298085
TF,2020Meter,90826
TF,2020Total,325154820.1
TF,2020Mean,3579.975118
TF,2020Medium,3177.594009
TN,2018Meter,226918
TN,2018Total,891566561.7
TN,2018Mean,3929.025294
TN,2018Medium,3499.051389
TN,2019Meter,232385
TN,2019Total,910273448.8
TN,2019Mean,3917.092105
TN,2019Medium,3507.598289
TN,2020Meter,237283
TN,2020Total,988378465.1
TN,2020Mean,4165.399397
TN,2020Medium,3692.754925
TQ,2018Meter,120795
TQ,2018Total,425670611.7
TQ,2018Mean,3523.909199
TQ,2018Medium,3058.710291
TQ,2019Meter,121991
TQ,2019Total,429685953.3
TQ,2019Mean,3522.275851
TQ,2019Medium,3053.612544
TQ,2020Meter,122895
TQ,2020Total,456532439.5
TQ,2020Mean,3714.817035
TQ,2020Medium,3181.13019
TR,2018Meter,116618
TR,2018Total,459907960.3
TR,2018Mean,3943.713323
TR,2018Medium,3434.238844
TR,2019Meter,119136
TR,2019Total,474677455.8
TR,2019Mean,3984.332661
TR,2019Medium,3465.915515
TR,2020Meter,121324
TR,2020Total,503612749.2
TR,2020Mean,4150.973832
TR,2020Medium,3607.576081
TS,2018Meter,259402
TS,2018Total,805477918.3
TS,2018Mean,3105.133801
TS,2018Medium,2781.615133
TS,2019Meter,261757
TS,2019Total,800088490.4
TS,2019Mean,3056.607809
TS,2019Medium,2740.034486
TS,2020Meter,263639
TS,2020Total,850012013.3
TS,2020Mean,3224.151257
TS,2020Medium,2827.037684
TW,2018Meter,183554
TW,2018Total,673927967.3
TW,2018Mean,3671.551518
TW,2018Medium,3205.151705
TW,2019Meter,185418
TW,2019Total,678383896.8
TW,2019Mean,3658.673358
TW,2019Medium,3197.735772
TW,2020Meter,186954
TW,2020Total,717573447.6
TW,2020Mean,3838.235328
TW,2020Medium,3333.449134
UB,2018Meter,127275
UB,2018Total,448201615.8
UB,2018Mean,3521.52124
UB,2018Medium,3080.971875
UB,2019Meter,129722
UB,2019Total,449250962.4
UB,2019Mean,3463.182516
UB,2019Medium,3038.489263
UB,2020Meter,130989
UB,2020Total,473085297.8
UB,2020Mean,3611.641418
UB,2020Medium,3136.429359
W,2018Meter,233283
W,2018Total,819824201.7
W,2018Mean,3514.290375
W,2018Medium,3002.536694
W,2019Meter,235882
W,2019Total,807550005.3
W,2019Mean,3423.533823
W,2019Medium,2955.345857
W,2020Meter,236506
W,2020Total,831927079.9
W,2020Mean,3517.572831
W,2020Medium,2999.668616
WA,2018Meter,263858
WA,2018Total,901253095
WA,2018Mean,3415.6747
WA,2018Medium,3143.158543
WA,2019Meter,266694
WA,2019Total,900390123.7
WA,2019Mean,3376.116912
WA,2019Medium,3116.245236
WA,2020Meter,268910
WA,2020Total,961061724
WA,2020Mean,3573.915897
WA,2020Medium,3265.051144
WC,2018Meter,15272
WC,2018Total,46128510
WC,2018Mean,3020.462939
WC,2018Medium,2572.800441
WC,2019Meter,15441
WC,2019Total,45780932
WC,2019Mean,2964.894242
WC,2019Medium,2511.902566
WC,2020Meter,15282
WC,2020Total,45399416.4
WC,2020Mean,2970.77715
WC,2020Medium,2452.525188
WD,2018Meter,83626
WD,2018Total,323396409.7
WD,2018Mean,3867.175396
WD,2018Medium,3488.281127
WD,2019Meter,85542
WD,2019Total,329203878.2
WD,2019Mean,3848.447291
WD,2019Medium,3465.599397
WD,2020Meter,86832
WD,2020Total,353497317.5
WD,2020Mean,4071.048894
WD,2020Medium,3647.987349
WF,2018Meter,219412
WF,2018Total,691647454.7
WF,2018Mean,3152.277244
WF,2018Medium,2796.882699
WF,2019Meter,221925
WF,2019Total,694620536.8
WF,2019Mean,3129.978762
WF,2019Medium,2779.092701
WF,2020Meter,223435
WF,2020Total,739552313
WF,2020Mean,3309.921512
WF,2020Medium,2899.257766
WN,2018Meter,129499
WN,2018Total,424601913.2
WN,2018Mean,3278.804571
WN,2018Medium,2937.724748
WN,2019Meter,131109
WN,2019Total,424776831
WN,2019Mean,3239.875455
WN,2019Medium,2901.195878
WN,2020Meter,132275
WN,2020Total,450815434.5
WN,2020Mean,3408.168093
WN,2020Medium,2991.802446
WR,2018Meter,115013
WR,2018Total,428389606.6
WR,2018Mean,3724.70596
WR,2018Medium,3314.836614
WR,2019Meter,116983
WR,2019Total,431504886.9
WR,2019Mean,3688.611909
WR,2019Medium,3272.830493
WR,2020Meter,118967
WR,2020Total,462793201.1
WR,2020Mean,3890.097263
WR,2020Medium,3416.761146
WS,2018Meter,173397
WS,2018Total,610421924.4
WS,2018Mean,3520.371889
WS,2018Medium,3108.388626
WS,2019Meter,175214
WS,2019Total,612931307.6
WS,2019Mean,3498.186832
WS,2019Medium,3075.558118
WS,2020Meter,176861
WS,2020Total,650663688
WS,2020Mean,3678.955157
WS,2020Medium,3193.079446
WV,2018Meter,150584
WV,2018Total,521956228
WV,2018Mean,3466.213064
WV,2018Medium,3099.353849
WV,2019Meter,152160
WV,2019Total,522003707.8
WV,2019Mean,3430.623737
WV,2019Medium,3060.421071
WV,2020Meter,153715
WV,2020Total,553696508
WV,2020Mean,3602.09809
WV,2020Medium,3176.712298
YO,2018Meter,236046
YO,2018Total,817588229.8
YO,2018Mean,3463.681781
YO,2018Medium,2993.881038
YO,2019Meter,239413
YO,2019Total,823180336.6
YO,2019Mean,3438.327646
YO,2019Medium,2969.898893
YO,2020Meter,241637
YO,2020Total,884645017.6
YO,2020Mean,3661.049498
YO,2020Medium,3117.238242
ZE,2018Meter,8645
ZE,2018Total,36631373.51
ZE,2018Mean,4237.290169
ZE,2018Medium,3336.732159
ZE,2019Meter,8634
ZE,2019Total,37505127.83
ZE,2019Mean,4343.887866
ZE,2019Medium,3377.138202
ZE,2020Meter,8626
ZE,2020Total,39491588.81
ZE,2020Mean,4578.204128
ZE,2020Medium,3505.05506
