POSTCODE,2018Meter,2018Total,2018Mean,2018Medium,2019Meter,2019Total,2019Mean,2019Medium,2020Meter,2020Total,2020Mean,2020Medium,,
CH,284701,960174700.8,3372.57228,3049.936287,286431,955954792.9,3337.469732,3012.384577,288724,1014186322,3512.649874,3134.443575,,
CM,216333,848536373.9,3922.362163,3526.432036,222748,865838671.1,3887.077195,3505.442097,227395,943728957.3,4150.174618,3698.454883,,
CO,139705,500296388.2,3581.091501,3134.503458,143734,508519993.2,3537.924174,3109.393338,146853,552414473.4,3761.683271,3260.788663,, 
CR,141736,511998579.6,3612.339699,3259.493486,145028,518992899.9,3578.570344,3242.07698,147216,556257463.9,3778.512281,3390.042581,,
CT,178432,597093118.6,3346.334282,2898.693265,181624,606062097.6,3336.905351,2897.35567,184453,651854192.5,3533.98531,3035.791954,,
CV,257798,889330717.2,3449.719227,3057.271758,266306,904141138,3395.121169,3026.729983,273203,980375615,3588.451133,3161.384544,,
CW,134865,478511004.7,3548.074034,3203.761137,137678,484260363,3517.340193,3165.548922,140392,522899828.4,3724.569979,3320.170719,,
DA,163324,579781160.3,3549.883424,3169.363995,164880,580745072.9,3522.228729,3143.526145,166706,621149369.9,3726.016879,3290.935621,,
DD,126844,427431266.2,3369.739729,3048.267695,127643,422045015,3306.448571,2990.610104,128087,441135732.7,3444.032046,3070.57178,,
DE,217933,727731733.4,3339.245243,2941.517305,226935,751973061.5,3313.605489,2921.662111,234084,821336363,3508.724915,3045.737179,,
DG,62311,231372094,3713.182167,3227.116903,62817,230535313.7,3669.951028,3196.411895,63093,243360978.1,3857.178738,3292.590499,,
DH,138307,415764760,3006.100631,2681.485472,139439,416602180.6,2987.70201,2654.422623,140529,442103441.4,3145.99436,2746.037449,,
DL,156500,513072561.7,3278.418925,2918.634028,158188,514783108.9,3254.248798,2891.547308,159581,550886545.6,3452.081047,3029.458581,,
DN,315303,1056041126,3349.289812,2966.054271,318373,1057950667,3322.991168,2948.985958,320507,1123042016,3503.954723,3051.133286,,
DT,90805,322459987.3,3551.1259,3110.319096,91945,324600616.3,3530.378121,3092.61176,92690,344337308.4,3714.93482,3213.359607,,
