POSTCODE,Type,2018,2019,2020
L,Total,1183142549,1175202972,1238647682
LA,Total,468579419.7,468244190.3,498222994.6
LD,Total,76067584.96,76397416.44,80865346.26
LE,Total,966487990.5,987989624,1084305049
LL,Total,772515510.1,772353052,810412533.4
LN,Total,327033773.3,334607956.6,363178118.3
LS,Total,1077980027,1083519034,1156341626
LU,Total,366568289.1,372118522.2,400246594.3
M,Total,1606320923,1614918103,1719926924
ME,Total,772936281.7,786142609.5,849601733.6
MK,Total,589624243.6,605300220.7,668807092.6
ML,Total,538656077.2,541295829.6,569663397.5
N,Total,975203433.8,975241885.1,1032748330
NE,Total,1552042939,1550434880,1638838385
NG,Total,1211563656,1235756536,1335666382
NN,Total,740273813.3,753365376.9,821287485.5
NP,Total,686363023.2,688382913.8,730720699
NR,Total,834598971.3,851883744,925108251
NW,Total,736525030.7,732236241.7,768557561.6
OL,Total,619986959.2,618975940.8,651275617.9
OX,Total,905096973.2,917193775.4,986492925.2
PA,Total,467944418.5,469462390.2,493568944.2
PE,Total,1006992464,1032287804,1127174074
PH,Total,283626301.6,284647585.5,297859553.1
PL,Total,772264778.3,782938919.7,830878414.3
PO,Total,1182281333,1183962534,1252670585
PR,Total,749316063.1,750503772.3,807201194.4
RG,Total,1235663079,1248592832,1339790613
RH,Total,714427231.3,734363869.6,795022253
RM,Total,615876363.1,619325084.6,660613205.4
S,Total,1760250512,1773504982,1884153768
SA,Total,1043117528,1046635671,1108776764
SE,Total,1264886673,1258995683,1333361903
SG,Total,501825620.3,510466304.8,555562547
SK,Total,890373766.8,894716358.1,953582150.7
SL,Total,578832182.4,581890655.2,617848163.7
SM,Total,272483184.8,276456199.3,293593692.9
SN,Total,703577419.3,710431775.2,756119284
SO,Total,970657410.7,976509842.1,1044443498
SP,Total,364465216.9,369574731.7,394867637.3
SR,Total,322771117.5,321492459.7,337127683
SS,Total,647873022.6,654698404.9,704215095.6
ST,Total,862657977.7,867587601.6,917363815.6
SW,Total,1351344303,1339313788,1396353605
SY,Total,488129486.2,494620831.7,528824198
TA,Total,470952279.8,474784175.2,509089056.1
TD,Total,174824575.1,175486028.7,185690963.2
TF,Total,300346749.2,303550331.6,325154820.1
TN,Total,891566561.7,910273448.8,988378465.1
TQ,Total,425670611.7,429685953.3,456532439.5
TR,Total,459907960.3,474677455.8,503612749.2
TS,Total,805477918.3,800088490.4,850012013.3
TW,Total,673927967.3,678383896.8,717573447.6
UB,Total,448201615.8,449250962.4,473085297.8
W,Total,819824201.7,807550005.3,831927079.9
WA,Total,901253095,900390123.7,961061724
WC,Total,46128510,45780932,45399416.4
WD,Total,323396409.7,329203878.2,353497317.5
WF,Total,691647454.7,694620536.8,739552313
WN,Total,424601913.2,424776831,450815434.5
WR,Total,428389606.6,431504886.9,462793201.1
WS,Total,610421924.4,612931307.6,650663688
WV,Total,521956228,522003707.8,553696508
YO,Total,817588229.8,823180336.6,884645017.6
ZE,Total,36631373.51,37505127.83,39491588.81
AB,Mean,3533.28366,3462.258267,3642.63686
