POSTCODE,Year,Meter,Total,Mean,Medium,,,,,,,,,,
SA,2018,313943,1043117528,3322.633498,2963.349079,,,,,,,,,,
SE,2018,412226,1264886673,3068.430117,2661.391664,,,,,,,,,,
SG,2018,136577,501825620.3,3674.305486,3311.031925,,,,,,,,,,
SK,2018,252455,890373766.8,3526.861289,3179.692047,,,,,,,,,,
SL,2018,140670,578832182.4,4114.823221,3725.368859,,,,,,,,,,
SM,2018,76807,272483184.8,3547.634783,3129.337203,,,,,,,,,,
SN,2018,189084,703577419.3,3720.97808,3330.61395,,,,,,,,,,
SO,2018,267369,970657410.7,3630.403714,3214.433264,,,,,,,,,,
SP,2018,93819,364465216.9,3884.76979,3460.570265,,,,,,,,,,
SR,2018,109899,322771117.5,2936.979567,2629.758561,,,,,,,,,,
SS,2018,176210,647873022.6,3676.709736,3275.910593,,,,,,,,,,
ST,2018,259625,862657977.7,3322.707666,2965.146178,,,,,,,,,,
SW,2018,386036,1351344303,3500.565498,3056.142819,,,,,,,,,,
SY,2018,129503,488129486.2,3769.252343,3318.705855,,,,,,,,,,
TA,2018,130304,470952279.8,3614.258041,3203.971576,,,,,,,,,,
TD,2018,48835,174824575.1,3579.903247,3123.699241,,,,,,,,,,
TF,2018,87477,300346749.2,3433.436779,3093.953564,,,,,,,,,,
TN,2018,226918,891566561.7,3929.025294,3499.051389,,,,,,,,,,
TQ,2018,120795,425670611.7,3523.909199,3058.710291,,,,,,,,,,
TR,2018,116618,459907960.3,3943.713323,3434.238844,,,,,,,,,,
TS,2018,259402,805477918.3,3105.133801,2781.615133,,,,,,,,,,
TW,2018,183554,673927967.3,3671.551518,3205.151705,,,,,,,,,,
UB,2018,127275,448201615.8,3521.52124,3080.971875,,,,,,,,,,
W,2018,233283,819824201.7,3514.290375,3002.536694,,,,,,,,,,
WA,2018,263858,901253095,3415.6747,3143.158543,,,,,,,,,,
WC,2018,15272,46128510,3020.462939,2572.800441,,,,,,,,,,
WD,2018,83626,323396409.7,3867.175396,3488.281127,,,,,,,,,,
WF,2018,219412,691647454.7,3152.277244,2796.882699,,,,,,,,,,
WN,2018,129499,424601913.2,3278.804571,2937.724748,,,,,,,,,,
WR,2018,115013,428389606.6,3724.70596,3314.836614,,,,,,,,,,
WS,2018,173397,610421924.4,3520.371889,3108.388626,,,,,,,,,,
WV,2018,150584,521956228,3466.213064,3099.353849,,,,,,,,,,
YO,2018,236046,817588229.8,3463.681781,2993.881038,,,,,,,,,,
ZE,2018,8645,36631373.51,4237.290169,3336.732159,,,,,,,,,,
AB,2019,229345,794051622.1,3462.258267,3182.2631,,,,,,,,,,
AL,2019,87239,331224068,3796.743062,3419.851957,,,,,,,,,,
B,2019,692446,2394332901,3457.790067,3073.860748,,,,,,,,,,
BA,2019,180008,651197017.3,3617.600425,3193.311211,,,,,,,,,,
BB,2019,200651,662085900.6,3299.689015,2940.047106,,,,,,,,,,
BD,2019,222289,740129896,3329.583992,2924.409382,,,,,,,,,,
BH,2019,237310,826186677.4,3481.46592,3036.276779,,,,,,,,,,
BL,2019,157578,520633386.2,3303.972548,2955.65777,,,,,,,,,,
BN,2019,289024,965006005.8,3338.843853,2958.816291,,,,,,,,,,
BR,2019,117754,443410584.5,3765.567068,3358.768316,,,,,,,,,,
BS,2019,391975,1315499449,3356.079976,2995.420048,,,,,,,,,,
CA,2019,134889,465129018.1,3448.23535,3040.46549,,,,,,,,,,
CB,2019,140242,490889843.4,3500.305496,3114.360698,,,,,,,,,,
CF,2019,432479,1375733639,3181.041482,2846.124608,,,,,,,,,,
CH,2019,286431,955954792.9,3337.469732,3012.384577,,,,,,,,,,
CM,2019,222748,865838671.1,3887.077195,3505.442097,,,,,,,,,,
CO,2019,143734,508519993.2,3537.924174,3109.393338,,,,,,,,,,
CR,2019,145028,518992899.9,3578.570344,3242.07698,,,,,,,,,,
CT,2019,181624,606062097.6,3336.905351,2897.35567,,,,,,,,,,
CV,2019,266306,904141138,3395.121169,3026.729983,,,,,,,,,,
CW,2019,137678,484260363,3517.340193,3165.548922,,,,,,,,,,
DA,2019,164880,580745072.9,3522.228729,3143.526145,,,,,,,,,,
DD,2019,127643,422045015,3306.448571,2990.610104,,,,,,,,,,
DE,2019,226935,751973061.5,3313.605489,2921.662111,,,,,,,,,,
DG,2019,62817,230535313.7,3669.951028,3196.411895,,,,,,,,,,
DH,2019,139439,416602180.6,2987.70201,2654.422623,,,,,,,,,,
DL,2019,158188,514783108.9,3254.248798,2891.547308,,,,,,,,,,
DN,2019,318373,1057950667,3322.991168,2948.985958,,,,,,,,,,
DT,2019,91945,324600616.3,3530.378121,3092.61176,,,,,,,,,,
DY,2019,162221,568058994.1,3501.759908,3108.403266,,,,,,,,,,
E,2019,379163,1158674138,3055.873431,2642.795454,,,,,,,,,,
EC,2019,20124,65172528.21,3238.547417,2880.161632,,,,,,,,,,
EH,2019,402463,1269951263,3155.448483,2883.988941,,,,,,,,,,
EN,2019,109534,406479321.6,3710.987653,3316.221596,,,,,,,,,,
EX,2019,227639,806143556.5,3541.32445,3159.282925,,,,,,,,,,
FK,2019,122103,403794610.9,3306.999917,2986.999115,,,,,,,,,,
FY,2019,117229,396217984.5,3379.863212,2968.919333,,,,,,,,,,
G,2019,516898,1566011817,3029.63412,2792.909461,,,,,,,,,,
GL,2019,250041,929790287.7,3718.551308,3273.704038,,,,,,,,,,
GU,2019,277124,1141094567,4117.631701,3703.321639,,,,,,,,,,
HA,2019,141158,515867385.2,3654.538781,3274.338682,,,,,,,,,,
HD,2019,110025,366545744.4,3331.476887,2943.628989,,,,,,,,,,
HG,2019,58041,216627479.7,3732.318183,3360.263864,,,,,,,,,,
HP,2019,177866,692627344.3,3894.096366,3488.270223,,,,,,,,,,
HR,2019,66791,254415494.8,3809.128397,3387.145106,,,,,,,,,,
HS,2019,13173,55760193.87,4232.915347,3543.626413,,,,,,,,,,
HU,2019,190646,603882440.3,3167.558933,2801.183051,,,,,,,,,,
HX,2019,68044,231137379,3396.881121,2963.124635,,,,,,,,,,
IG,2019,116845,431127888.3,3689.741866,3278.805636,,,,,,,,,,
IP,2019,189759,686591330.1,3618.228016,3193.296067,,,,,,,,,,
IV,2019,104357,390311911.8,3740.160332,3194.196843,,,,,,,,,,
KA,2019,167598,530708021.1,3166.553426,2860.470302,,,,,,,,,,
KT,2019,191298,793422315.6,4350.790266,3940.155224,,,,,,,,,,
KW,2019,22475,92902167.75,4133.578098,3367.03858,,,,,,,,,,
KY,2019,165838,533095767.6,3214.557385,2878.493755,,,,,,,,,,
L,2019,372753,1175202972,3152.765967,2839.777865,,,,,,,,,,
LA,2019,139000,468244190.3,3368.66324,2973.189987,,,,,,,,,,
LD,2019,20219,76397416.44,3778.496288,3274.278868,,,,,,,,,,
LE,2019,297083,987989624,3325.635004,2936.376961,,,,,,,,,,
LL,2019,222526,772353052,3470.84409,3060.625508,,,,,,,,,,
LN,2019,98175,334607956.6,3408.280689,2993.842494,,,,,,,,,,
LS,2019,324935,1083519034,3334.571634,2955.874617,,,,,,,,,,
